namespace,package,version
ampproject,remapping,2.2.0
ampproject,remapping,^2.1.0
azure,abort-controller,^2.0.0
azure,abort-controller,2.1.2
azure,abort-controller,1.0.4
azure,abort-controller,^1.0.0
azure,abort-controller,^1.0.0
azure,abort-controller,^1.0.0
azure,abort-controller,^2.0.0
azure,abort-controller,2.1.2
azure,abort-controller,^2.0.0
azure,abort-controller,^2.0.0
azure,abort-controller,2.1.2
azure,abort-controller,^1.0.0
azure,core-asynciterator-polyfill,1.0.0
azure,core-asynciterator-polyfill,^1.0.0
azure,core-asynciterator-polyfill,^1.0.0
azure,core-auth,^1.3.0
azure,core-auth,^1.3.0
azure,core-auth,1.3.2
azure,core-auth,^1.3.0
azure,core-auth,^1.4.0
azure,core-auth,1.7.2
azure,core-http,2.2.2
azure,core-http,^2.0.0
azure,core-lro,2.2.1
azure,core-lro,^2.2.0
azure,core-paging,1.2.0
azure,core-paging,^1.1.1
azure,core-rest-pipeline,^1.8.0
azure,core-rest-pipeline,^1.5.0
azure,core-rest-pipeline,1.16.0
azure,core-tracing,^1.0.1
azure,core-tracing,1.1.2
azure,core-tracing,1.0.0-preview.13
azure,core-tracing,1.0.0-preview.13
azure,core-tracing,^1.0.1
azure,core-tracing,1.1.2
azure,core-tracing,1.0.0-preview.13
azure,core-tracing,1.0.0-preview.13
azure,core-util,^1.0.0
azure,core-util,^1.1.0
azure,core-util,^1.9.0
azure,core-util,1.9.0
azure,logger,^1.0.0
azure,logger,^1.0.0
azure,logger,^1.0.0
azure,logger,^1.0.0
azure,logger,1.0.3
azure,logger,^1.0.0
azure,storage-blob,12.8.0
azure,storage-blob,^12.8.0
azure-rest,ai-translation-text,1.0.0-beta.1
azure-rest,ai-translation-text,^1.0.0-beta.1
azure-rest,core-client,^1.1.0
azure-rest,core-client,1.4.0
babel,code-frame,7.18.6
babel,code-frame,^7.18.6
babel,code-frame,7.22.13
babel,code-frame,^7.22.13
babel,code-frame,^7.18.6
babel,code-frame,^7.22.13
babel,code-frame,7.22.13
babel,code-frame,7.12.11
babel,code-frame,^7.0.0
babel,compat-data,7.18.8
babel,compat-data,^7.18.8
babel,core,7.18.10
babel,core,^7.12.3
babel,generator,^7.18.10
babel,generator,7.18.10
babel,generator,^7.23.0
babel,generator,7.23.0
babel,helper-compilation-targets,^7.18.9
babel,helper-compilation-targets,7.18.9
babel,helper-environment-visitor,7.18.9
babel,helper-environment-visitor,^7.18.9
babel,helper-environment-visitor,^7.22.20
babel,helper-environment-visitor,7.22.20
babel,helper-function-name,7.23.0
babel,helper-function-name,^7.23.0
babel,helper-hoist-variables,7.22.5
babel,helper-hoist-variables,^7.22.5
babel,helper-module-imports,7.18.6
babel,helper-module-imports,^7.18.6
babel,helper-module-transforms,^7.18.9
babel,helper-module-transforms,7.18.9
babel,helper-simple-access,^7.18.6
babel,helper-simple-access,7.18.6
babel,helper-split-export-declaration,^7.18.6
babel,helper-split-export-declaration,7.18.6
babel,helper-split-export-declaration,^7.22.6
babel,helper-split-export-declaration,7.22.6
babel,helper-string-parser,7.22.5
babel,helper-string-parser,^7.22.5
babel,helper-string-parser,7.22.5
babel,helper-string-parser,^7.22.5
babel,helper-string-parser,7.18.10
babel,helper-string-parser,7.22.5
babel,helper-string-parser,^7.22.5
babel,helper-string-parser,^7.18.10
babel,helper-validator-identifier,7.22.20
babel,helper-validator-identifier,^7.22.20
babel,helper-validator-identifier,^7.22.20
babel,helper-validator-identifier,7.22.20
babel,helper-validator-identifier,^7.22.20
babel,helper-validator-identifier,^7.18.6
babel,helper-validator-identifier,7.18.6
babel,helper-validator-identifier,^7.18.6
babel,helper-validator-identifier,7.22.20
babel,helper-validator-identifier,^7.22.20
babel,helper-validator-identifier,^7.22.20
babel,helper-validator-identifier,^7.18.6
babel,helper-validator-identifier,7.12.11
babel,helper-validator-identifier,^7.10.4
babel,helper-validator-option,^7.18.6
babel,helper-validator-option,7.18.6
babel,helpers,^7.18.9
babel,helpers,7.18.9
babel,highlight,^7.18.6
babel,highlight,^7.22.13
babel,highlight,7.22.20
babel,highlight,7.18.6
babel,highlight,^7.22.13
babel,highlight,7.22.20
babel,highlight,^7.10.4
babel,highlight,7.10.4
babel,parser,^7.18.10
babel,parser,7.23.0
babel,parser,^7.22.15
babel,parser,7.18.10
babel,parser,^7.18.10
babel,parser,^7.23.0
babel,parser,7.23.0
babel,parser,^7.14.7
babel,template,^7.18.10
babel,template,^7.22.15
babel,template,7.22.15
babel,template,^7.18.6
babel,template,^7.18.6
babel,template,7.18.10
babel,traverse,^7.18.10
babel,traverse,^7.18.9
babel,traverse,^7.18.9
babel,traverse,7.23.2
babel,types,^7.18.10
babel,types,^7.18.10
babel,types,^7.22.15
babel,types,^7.23.0
babel,types,7.23.0
babel,types,^7.22.5
babel,types,7.23.0
babel,types,^7.18.6
babel,types,^7.18.9
babel,types,^7.18.6
babel,types,^7.18.6
babel,types,^7.18.9
babel,types,^7.18.10
babel,types,^7.23.0
babel,types,^7.22.5
babel,types,^7.23.0
babel,types,7.23.0
babel,types,7.18.10
bcoe,v8-coverage,0.2.3
bcoe,v8-coverage,^0.2.3
cspotcode,source-map-support,0.8.1
cspotcode,source-map-support,^0.8.0
csstools,selector-specificity,3.0.1
csstools,selector-specificity,^3.0.1
discoveryjs,json-ext,0.5.3
discoveryjs,json-ext,^0.5.0
